,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Minutes,views_str,likes_str,dislikes_str,LikeRatio_str,plot_text
77,Friends: Chandler’s Caught Smoking (Season 1 Clip) | TBS,TBS,03:17,38239,675,3488835,964,2019-12-12,8,98.265,3.283,3488835,38239,675,98.265,Friends: Chandler’s Caught Smoking (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 3488835<br>Likes: 38239<br>LikeRatio: 98.265<br>Length: 03:17
78,Friends: Chandler's Blind Date with Janice (Season 1 Clip) | TBS,TBS,04:36,19949,466,2454398,674,2020-01-26,8,97.717,4.6,2454398,19949,466,97.717,Friends: Chandler's Blind Date with Janice (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 2454398<br>Likes: 19949<br>LikeRatio: 97.717<br>Length: 04:36
79,Friends: Will Lost Weight (Clip) | TBS,TBS,01:44,30350,735,3641383,888,2013-11-26,8,97.636,1.733,3641383,30350,735,97.636,Friends: Will Lost Weight (Clip) | TBS<br>Channel: TBS<br>Views: 3641383<br>Likes: 30350<br>LikeRatio: 97.636<br>Length: 01:44
80,Friends: Joey Finds Out (Season 5 Clip) | TBS,TBS,03:23,79657,1114,6604823,1975,2020-12-06,9,98.621,3.383,6604823,79657,1114,98.621,Friends: Joey Finds Out (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 6604823<br>Likes: 79657<br>LikeRatio: 98.621<br>Length: 03:23
82,Friends: Will and Rachel (Clip) | TBS,TBS,02:27,26342,613,3271224,728,2013-11-26,9,97.726,2.45,3271224,26342,613,97.726,Friends: Will and Rachel (Clip) | TBS<br>Channel: TBS<br>Views: 3271224<br>Likes: 26342<br>LikeRatio: 97.726<br>Length: 02:27
83,Friends: Joey Pretends to Be Dr. Ramoray (Season 2 Clip) | TBS,TBS,02:54,40090,720,3625534,1386,2020-04-11,9,98.236,2.9,3625534,40090,720,98.236,Friends: Joey Pretends to Be Dr. Ramoray (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 3625534<br>Likes: 40090<br>LikeRatio: 98.236<br>Length: 02:54
84,Friends: Rachel Finds Out (Season 1 Clip) | TBS,TBS,04:22,56245,1096,5795630,1575,2020-02-29,9,98.089,4.367,5795630,56245,1096,98.089,Friends: Rachel Finds Out (Season 1 Clip) | TBS<br>Channel: TBS<br>Views: 5795630<br>Likes: 56245<br>LikeRatio: 98.089<br>Length: 04:22
85,Friends: Ross Moves In With Chandler And Joey (Season 5 Clip) | TBS,TBS,05:17,2271,42,174567,88,2021-06-28,9,98.184,5.283,174567,2271,42,98.184,Friends: Ross Moves In With Chandler And Joey (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 174567<br>Likes: 2271<br>LikeRatio: 98.184<br>Length: 05:17
86,Friends: Ross Cheats on Rachel (Season 3 Clip) | TBS,TBS,03:23,49979,757,3816338,3651,2020-07-19,9,98.508,3.383,3816338,49979,757,98.508,Friends: Ross Cheats on Rachel (Season 3 Clip) | TBS<br>Channel: TBS<br>Views: 3816338<br>Likes: 49979<br>LikeRatio: 98.508<br>Length: 03:23
87,Friends: Ross Hears Rachel's Voicemail Confessing Her Love (Season 2 Clip) | TBS,TBS,02:29,29303,352,2437709,647,2020-03-26,9,98.813,2.483,2437709,29303,352,98.813,Friends: Ross Hears Rachel's Voicemail Confessing Her Love (Season 2 Clip) | TBS<br>Channel: TBS<br>Views: 2437709<br>Likes: 29303<br>LikeRatio: 98.813<br>Length: 02:29
88,Friends: Best Moments From Season 2 (Mashup) | TBS,TBS,56:52,121686,5439,17899831,4339,2020-08-20,9,95.722,56.867,17899831,121686,5439,95.722,Friends: Best Moments From Season 2 (Mashup) | TBS<br>Channel: TBS<br>Views: 17899831<br>Likes: 121686<br>LikeRatio: 95.722<br>Length: 56:52
89,Friends: Joey’s Top 22 Worst Advice Moments | TBS,TBS,15:35,111169,2836,10615168,2527,2020-03-09,9,97.512,15.583,10615168,111169,2836,97.512,Friends: Joey’s Top 22 Worst Advice Moments | TBS<br>Channel: TBS<br>Views: 10615168<br>Likes: 111169<br>LikeRatio: 97.512<br>Length: 15:35
90,Friends: Monica and Chandler's Love Story (Mashup) | TBS,TBS,28:08,61741,1382,5376028,1988,2020-07-27,10,97.811,28.133,5376028,61741,1382,97.811,Friends: Monica and Chandler's Love Story (Mashup) | TBS<br>Channel: TBS<br>Views: 5376028<br>Likes: 61741<br>LikeRatio: 97.811<br>Length: 28:08
91,Friends: Ross and Rachel’s Love Story (Mashup) | TBS,TBS,29:56,43248,939,3455568,1838,2020-07-01,10,97.875,29.933,3455568,43248,939,97.875,Friends: Ross and Rachel’s Love Story (Mashup) | TBS<br>Channel: TBS<br>Views: 3455568<br>Likes: 43248<br>LikeRatio: 97.875<br>Length: 29:56
92,Friends: Best Moments From Season 2 (Mashup) | TBS,TBS,56:52,121686,5439,17899831,4339,2020-08-20,10,95.722,56.867,17899831,121686,5439,95.722,Friends: Best Moments From Season 2 (Mashup) | TBS<br>Channel: TBS<br>Views: 17899831<br>Likes: 121686<br>LikeRatio: 95.722<br>Length: 56:52
93,Friends: Funniest Moments of Season 3 (Mashup) | TBS,TBS,53:30,75925,3614,11502036,2658,2020-10-28,10,95.456,53.5,11502036,75925,3614,95.456,Friends: Funniest Moments of Season 3 (Mashup) | TBS<br>Channel: TBS<br>Views: 11502036<br>Likes: 75925<br>LikeRatio: 95.456<br>Length: 53:30
94,Friends: The Best of Joey and Chandler’s Friendship (Mashup) | TBS,TBS,25:28,80262,1580,6214507,1845,2020-10-05,10,98.069,25.467,6214507,80262,1580,98.069,Friends: The Best of Joey and Chandler’s Friendship (Mashup) | TBS<br>Channel: TBS<br>Views: 6214507<br>Likes: 80262<br>LikeRatio: 98.069<br>Length: 25:28
95,Friends: Chandler's Most Sarcastic Moments (Mashup) | TBS,TBS,14:35,168143,3291,12959355,4565,2020-06-08,10,98.08,14.583,12959355,168143,3291,98.08,Friends: Chandler's Most Sarcastic Moments (Mashup) | TBS<br>Channel: TBS<br>Views: 12959355<br>Likes: 168143<br>LikeRatio: 98.08<br>Length: 14:35
97,Friends: Top 20 Funniest Moments | TBS,TBS,32:52,150854,5233,17018106,5393,2020-02-05,10,96.647,32.867,17018106,150854,5233,96.647,Friends: Top 20 Funniest Moments | TBS<br>Channel: TBS<br>Views: 17018106<br>Likes: 150854<br>LikeRatio: 96.647<br>Length: 32:52
98,Friends: Joey Finds Out (Season 5 Clip) | TBS,TBS,03:23,79657,1114,6604823,1975,2020-12-06,10,98.621,3.383,6604823,79657,1114,98.621,Friends: Joey Finds Out (Season 5 Clip) | TBS<br>Channel: TBS<br>Views: 6604823<br>Likes: 79657<br>LikeRatio: 98.621<br>Length: 03:23
99,Friends: Ross’s Pettiest Moments (Mashup) | TBS,TBS,20:12,70287,1959,7029684,3168,2020-05-04,10,97.288,20.2,7029684,70287,1959,97.288,Friends: Ross’s Pettiest Moments (Mashup) | TBS<br>Channel: TBS<br>Views: 7029684<br>Likes: 70287<br>LikeRatio: 97.288<br>Length: 20:12
